Position;TrackName;Artist;Streams;Date;Genre
1;DÁKITI;Bad Bunny;5065542;01.01.21;['trap latino', 'reggaeton', 'latin']
2;Blinding Lights;The Weeknd;3764813;01.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
3;BICHOTA;KAROL G;3560869;01.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
4;Mood (feat. iann dior);24kGoldn;3402064;01.01.21;['cali rap']
5;positions;Ariana Grande;2939820;01.01.21;['pop', 'post-teen pop', 'dance pop']
6;34+35;Ariana Grande;2470575;01.01.21;['pop', 'post-teen pop', 'dance pop']
7;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2448371;01.01.21;['trap', 'rap', 'pop rap']
8;LA NOCHE DE ANOCHE;Bad Bunny;2441850;01.01.21;['trap latino', 'reggaeton', 'latin']
9;Dynamite;BTS;2372884;01.01.21;['k-pop boy group', 'k-pop']
10;Hawái;Maluma;2305984;01.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
11;Levitating (feat. DaBaby);Dua Lipa;2224633;01.01.21;['uk pop', 'pop', 'dance pop']
12;Watermelon Sugar;Harry Styles;2199194;01.01.21;['pop', 'post-teen pop']
13;Roses - Imanbek Remix;SAINt JHN;2149916;01.01.21;['melodic rap', 'slap house', 'rap', 'pop rap']
14;Whoopty;CJ;2131988;01.01.21;['nyc rap']
15;Anyone;Justin Bieber;2095920;01.01.21;['canadian pop', 'post-teen pop', 'pop']
16;WAP (feat. Megan Thee Stallion);Cardi B;2071860;01.01.21;['pop rap', 'pop', 'rap', 'dance pop']
17;Dance Monkey;Tones And I;2067874;01.01.21;['australian pop', 'pop']
18;Therefore I Am;Billie Eilish;2005643;01.01.21;['pop', 'electropop']
19;WITHOUT YOU;The Kid LAROI;1988730;01.01.21;['australian hip hop']
20;What You Know Bout Love;Pop Smoke;1929832;01.01.21;['brooklyn drill']
1;DÁKITI;Bad Bunny;4375903;02.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3319055;02.01.21;['cali rap']
3;Blinding Lights;The Weeknd;3216694;02.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;positions;Ariana Grande;3019358;02.01.21;['pop', 'post-teen pop', 'dance pop']
5;Anyone;Justin Bieber;3011498;02.01.21;['canadian pop', 'post-teen pop', 'pop']
6;BICHOTA;KAROL G;2959615;02.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
7;34+35;Ariana Grande;2708740;02.01.21;['pop', 'post-teen pop', 'dance pop']
8;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2565080;02.01.21;['trap', 'rap', 'pop rap']
9;Dynamite;BTS;2476161;02.01.21;['k-pop boy group', 'k-pop']
10;LA NOCHE DE ANOCHE;Bad Bunny;2363945;02.01.21;['trap latino', 'reggaeton', 'latin']
11;Whoopty;CJ;2344774;02.01.21;['nyc rap']
12;WITHOUT YOU;The Kid LAROI;2263913;02.01.21;['australian hip hop']
13;Therefore I Am;Billie Eilish;2225413;02.01.21;['pop', 'electropop']
14;Levitating (feat. DaBaby);Dua Lipa;2151574;02.01.21;['uk pop', 'pop', 'dance pop']
15;What You Know Bout Love;Pop Smoke;2081783;02.01.21;['brooklyn drill']
16;Watermelon Sugar;Harry Styles;2001470;02.01.21;['pop', 'post-teen pop']
17;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1992073;02.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
18;Afterglow;Ed Sheeran;1963398;02.01.21;['uk pop', 'pop']
19;HOLIDAY;Lil Nas X;1930371;02.01.21;['lgbtq+ hip hop', 'pop rap']
20;Hawái;Maluma;1878699;02.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
1;DÁKITI;Bad Bunny;4231750;03.01.21;['trap latino', 'reggaeton', 'latin']
2;Mood (feat. iann dior);24kGoldn;3155325;03.01.21;['cali rap']
3;Blinding Lights;The Weeknd;2991466;03.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
4;positions;Ariana Grande;2897277;03.01.21;['pop', 'post-teen pop', 'dance pop']
