Position;Track Name;Artist;Streams;Date;Genre
1;DÁKITI;Bad Bunny;5065542;01.01.21;['trap latino', 'reggaeton', 'latin']
2;Blinding Lights;The Weeknd;3764813;01.01.21;['canadian pop', 'canadian contemporary r&b', 'pop']
3;BICHOTA;KAROL G;3560869;01.01.21;['reggaeton colombiano', 'trap latino', 'reggaeton', 'latin']
4;Mood (feat. iann dior);24kGoldn;3402064;01.01.21;['cali rap']
5;positions;Ariana Grande;2939820;01.01.21;['pop', 'post-teen pop', 'dance pop']
6;34+35;Ariana Grande;2470575;01.01.21;['pop', 'post-teen pop', 'dance pop']
7;Lemonade (feat. Gunna, Don Toliver & NAV);Internet Money;2448371;01.01.21;['trap', 'rap', 'pop rap']
8;LA NOCHE DE ANOCHE;Bad Bunny;2441850;01.01.21;['trap latino', 'reggaeton', 'latin']
9;Dynamite;BTS;2372884;01.01.21;['k-pop boy group', 'k-pop']
10;Hawái;Maluma;2305984;01.01.21;['reggaeton colombiano', 'reggaeton', 'latin']
11;Levitating (feat. DaBaby);Dua Lipa;2224633;01.01.21;['uk pop', 'pop', 'dance pop']
12;Watermelon Sugar;Harry Styles;2199194;01.01.21;['pop', 'post-teen pop']
13;Roses - Imanbek Remix;SAINt JHN;2149916;01.01.21;['melodic rap', 'slap house', 'rap', 'pop rap']
14;Whoopty;CJ;2131988;01.01.21;['nyc rap']
15;Anyone;Justin Bieber;2095920;01.01.21;['canadian pop', 'post-teen pop', 'pop']
16;WAP (feat. Megan Thee Stallion);Cardi B;2071860;01.01.21;['pop rap', 'pop', 'rap', 'dance pop']
17;Dance Monkey;Tones And I;2067874;01.01.21;['australian pop', 'pop']
18;Therefore I Am;Billie Eilish;2005643;01.01.21;['pop', 'electropop']
19;WITHOUT YOU;The Kid LAROI;1988730;01.01.21;['australian hip hop']
20;What You Know Bout Love;Pop Smoke;1929832;01.01.21;['brooklyn drill']
21;HOLIDAY;Lil Nas X;1823908;01.01.21;['lgbtq+ hip hop', 'pop rap']
22;ROCKSTAR (feat. Roddy Ricch);DaBaby;1748248;01.01.21;['north carolina hip hop', 'rap']
23;Head & Heart (feat. MNEK);Joel Corry;1727979;01.01.21;['uk dance', 'pop dance', 'tropical house', 'dance pop', 'edm']
24;Monster (Shawn Mendes & Justin Bieber);Shawn Mendes;1725649;01.01.21;['pop', 'canadian pop', 'viral pop', 'post-teen pop', 'dance pop']
25;Reloj;Rauw Alejandro;1712947;01.01.21;['puerto rican pop', 'trap latino']
26;Afterglow;Ed Sheeran;1701822;01.01.21;['uk pop', 'pop']
27;Hecha Pa' Mi;Boza;1688021;01.01.21;['reggaeton']
28;Recairei - Ao Vivo;Os Barões Da Pisadinha;1635175;01.01.21;['piseiro', 'forro']
29;Vida de Rico;Camilo;1629086;01.01.21;['reggaeton colombiano', 'colombian pop']
30;La Nota;Manuel Turizo;1617356;01.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'trap latino', 'latin']
31;Don't Start Now;Dua Lipa;1612486;01.01.21;['uk pop', 'pop', 'dance pop']
32;Chica Ideal;Sebastian Yatra;1611983;01.01.21;['reggaeton colombiano', 'colombian pop', 'reggaeton', 'latin']
33;willow;Taylor Swift;1605305;01.01.21;['pop', 'post-teen pop']
34;La Tóxica;Farruko;1560396;01.01.21;['reggaeton', 'latin', 'latin hip hop', 'trap latino']
35;Relación - Remix;Sech;1553585;01.01.21;['panamanian pop', 'trap latino', 'reggaeton', 'latin']
36;you broke me first;Tate McRae;1552182;01.01.21;['pop', 'alt z', 'post-teen pop', 'electropop', 'dance pop']
37;For The Night (feat. Lil Baby & DaBaby);Pop Smoke;1551800;01.01.21;['brooklyn drill']
38;Lonely (with benny blanco);Justin Bieber;1536660;01.01.21;['canadian pop', 'post-teen pop', 'pop']
39;Snowman;Sia;1535647;01.01.21;['pop', 'australian dance', 'australian pop', 'dance pop']
40;Savage Love (Laxed - Siren Beat);Jawsh 685;1498796;01.01.21;['nz pop']
41;Prisoner (feat. Dua Lipa);Miley Cyrus;1479065;01.01.21;['pop', 'post-teen pop', 'dance pop']
42;Someone You Loved;Lewis Capaldi;1470606;01.01.21;['uk pop', 'pop']
